,endTime,artistName,trackName,msPlayed
5200,2020-05-07 08:42,The Beatles,A Day In The Life - Remastered 2009,337413
5201,2020-05-07 08:48,Pink Floyd,Time - 2011 Remastered Version,413947
5202,2020-05-07 08:53,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",281613
5203,2020-05-07 09:11,Benjamin Ingrosso,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,188166
5204,2020-05-07 09:16,The Beatles,While My Guitar Gently Weeps - Remastered 2009,285000
5205,2020-05-07 09:19,Pink Floyd,The Great Gig In The Sky - 2011 Remastered Version,1770
5206,2020-05-07 09:19,Ariana Grande,bloodline,1492
5207,2020-05-07 09:19,Jax Jones,All Day And Night,169303
5208,2020-05-07 09:22,The Beatles,Penny Lane - Remastered 2015,180520
5209,2020-05-07 09:26,Elton John,Grey Seal - Remastered 2014,240126
5210,2020-05-07 09:30,JóiPé,Næsta,271043
5211,2020-05-07 09:33,Taron Egerton,Honky Cat,153786
5212,2020-05-07 09:34,The Beatles,Golden Slumbers - Remastered 2009,91760
5213,2020-05-07 09:41,Pink Floyd,Comfortably Numb - 2011 Remastered Version,382296
5214,2020-05-07 09:44,Elton John,Candle In The Wind - Remastered 2014,228932
5215,2020-05-07 09:47,Avicii,Freak (feat. Bonn),179479
5216,2020-05-07 09:51,The Beatles,Here Comes The Sun - Remastered 2009,185733
5217,2020-05-07 09:54,David Guetta,Stay (Don't Go Away) [feat. Raye],185942
5218,2020-05-07 09:59,Elton John,Saturday Night’s Alright (For Fighting) - Remastered 2014,295466
5219,2020-05-07 10:02,Huginn,Veist Af Mér,177034
5220,2020-05-07 10:05,The Beatles,All You Need Is Love - Remastered 2015,227760
5221,2020-05-07 10:08,Pink Floyd,Breathe (In The Air) - 2011 Remastered Version,169534
5222,2020-05-07 10:12,Elton John,Elderberry Wine,213866
5223,2020-05-07 10:12,Avicii,SOS (feat. Aloe Blacc),4746
5224,2020-05-07 13:21,The Beatles,I'm Looking Through You - Remastered 2009,99135
5225,2020-05-07 17:07,The Beach Boys,Heroes And Villains - Remastered 2001,119509
5226,2020-05-07 17:14,Elton John,Honky Cat,313026
5227,2020-05-07 17:25,Elton John,Funeral For A Friend / Love Lies Bleeding - Remastered 2014,666571
5228,2020-05-07 17:31,Elton John,All The Girls Love Alice - Remastered 2014,308353
5229,2020-05-07 17:33,The Beatles,In My Life - Remastered 2009,142228
5230,2020-05-08 08:22,Fleetwood Mac,Hold Me - 2016 Remaster,156800
5231,2020-05-08 08:26,Fleetwood Mac,Hold Me - 2016 Remaster,225034
5232,2020-05-08 08:30,Fleetwood Mac,Gypsy - 2016 Remaster,267033
5233,2020-05-08 08:33,Fleetwood Mac,Oh Diane - 2016 Remaster,158535
5234,2020-05-08 08:34,Fleetwood Mac,Eyes of the World - 2016 Remaster,42998
5235,2020-05-08 08:37,The Beatles,Something - Remastered 2009,182293
5236,2020-05-08 08:41,Elton John,Crocodile Rock,235440
5237,2020-05-08 08:45,Pink Floyd,Time - 2011 Remastered Version,6989
5238,2020-05-08 08:45,The Beatles,A Day In The Life - Remastered 2009,251975
5239,2020-05-08 14:28,The Beatles,Strawberry Fields Forever - Remastered 2009,247320
5240,2020-05-08 14:35,Elton John,The Ballad Of Danny Bailey (1909-1934) - Remastered 2014,263279
5241,2020-05-08 14:38,The Beatles,"Baby, You're A Rich Man - Remastered 2009",181306
5242,2020-05-08 15:12,The Beatles,Something - Remastered 2009,182293
5243,2020-05-08 15:16,Elton John,Crocodile Rock,235440
5244,2020-05-08 19:27,The Beatles,A Day In The Life - Remastered 2009,79031
5245,2020-05-08 19:32,Elton John,Honky Cat,318878
5246,2020-05-08 19:32,Ed Sheeran,I Don't Care (with Justin Bieber),2659
5247,2020-05-08 19:33,Christopher Cross,Ride Like the Wind,29628
5248,2020-05-08 22:49,Elton John,Indian Sunset,1557
5249,2020-05-08 22:49,The Beach Boys,Wouldn't It Be Nice - Stereo Mix,1578
5250,2020-05-08 22:49,Pink Floyd,Time - 2011 Remastered Version,8704
5251,2020-05-08 22:49,Pink Floyd,"Shine On You Crazy Diamond, Pts. 6-9 - 2011 Remastered Version",1493
5252,2020-05-08 22:49,Avicii,SOS (feat. Aloe Blacc),1301
5253,2020-05-08 22:52,Avicii,Freak (feat. Bonn),810
5254,2020-05-08 22:52,Jax Jones,All Day And Night,169303
5255,2020-05-08 22:52,The Beatles,Oh! Darling - Remastered 2009,3700
5256,2020-05-09 09:02,Fleetwood Mac,That's Alright - 2016 Remaster,490
5257,2020-05-09 09:02,Fleetwood Mac,Hold Me - 2016 Remaster,225034
5258,2020-05-09 09:02,Fleetwood Mac,Empire State - 2016 Remaster,9601
5259,2020-05-09 09:02,Fleetwood Mac,Oh Diane - 2016 Remaster,703
5260,2020-05-09 09:02,Fleetwood Mac,Book of Love - 2016 Remaster,448
5261,2020-05-09 09:02,Fleetwood Mac,Gypsy - 2016 Remaster,768
